Excluding Developed Countries,,,,,,Excluding Developed Countries,,,,,,,,Including Developed Countries,,,,,,Including Developed Countries,,,,,,,,Excluding Developed Countries,,,,,,Excluding Developed Countries,,,,,,,,Including Developed Countries,,,,,,Including Developed Countries,,,,,,,,Excluding Developed Countries,,,,,,Excluding Developed Countries,,,,,,,,Including Developed Countries,,,,,,Including Developed Countries,,,,,,,,Excluding Developed Countries,,,,,,Excluding Developed Countries,,,,,,,,Including Developed Countries,,,,,,Including Developed Countries,,,,
"School enrollment, secondary (% net) ",,,,,,"School enrollment, primary (% net) ",,,,,,,,"School enrollment, secondary (% net) ",,,,,,"School enrollment, primary (% net) ",,,,,,,,"School enrollment, secondary (% gross) ",,,,,,"School enrollment, primary (% gross) ",,,,,,,,"School enrollment, secondary (% gross) ",,,,,,"School enrollment, primary (% gross) ",,,,,,,,"Literacy rate, youth total (% of people ages 15-24) ",,,,,,"Average years of school, ages 15+",,,,,,,,"Literacy rate, youth total (% of people ages 15-24) ",,,,,,"Average years of school, ages 15+",,,,,,,,,"First level complete, ages 15+",,,,,,"second level complete, ages 15+",,,,,,,,"First level complete, ages 15+",,,,,,"second level complete, ages 15+",,,
,Input Efficiency,,Output Efficeiency,,,,Input Efficiency,,Output Efficeiency,,,,,,Input Efficiency,,Output Efficeiency,,,,Input Efficiency,,Output Efficeiency,,,,,,Input Efficiency,,Output Efficeiency,,,,Input Efficiency,,Output Efficeiency,,,,,,Input Efficiency,,Output Efficeiency,,,,Input Efficiency,,Output Efficeiency,,,,,,Input Efficiency,,Output Efficeiency,,,,Input Efficiency,,Output Efficeiency,,,,,,Input Efficiency,,Output Efficeiency,,,,Input Efficiency,,Output Efficeiency,,,,,,Input Efficiency,,Output Efficeiency,,,,Input Efficiency,,Output Efficeiency,,,,,,Input Efficiency,,Output Efficeiency,,,,Input Efficiency,,Output Efficeiency,
dmu,FDH,DEA,FDH,DEA,,dmu,FDH,DEA,FDH,DEA,,,,,Input ,,output,,,dmu,FDH,DEA,FDH,DEA,,,,dmu,FDH,DEA,FDH,DEA,,dmu,FDH,DEA,FDH,DEA,,,,dmu,FDH,DEA,FDH,DEA,,dmu,FDH,DEA,FDH,DEA,,,,dmu,FDH,DEA,FDH,DEA,,dmu,FDH,DEA,FDH,DEA,,,,dmu,FDH,DEA,FDH,DEA,,dmu,FDH,DEA,FDH,DEA,,,,dmu,FDH,DEA,FDH,DEA,,dmu,FDH,DEA,FDH,DEA,,,,dmu,FDH,DEA,FDH,DEA,,dmu,FDH,DEA,FDH,DEA
BDI,0.040,0.040,0.283,0.275,,AZE,1.000,0.642,1.000,0.972,,,,ATG,1.000,0.987,1.000,0.992,,AUS,0.751,0.748,0.974,0.974,,,,BDI,0.051,0.051,0.194,0.194,,AZE,0.362,0.291,0.995,0.941,,,,AUS,0.643,0.643,0.867,0.867,,AUS,0.614,0.614,0.887,0.757,,,,BDI,0.051,0.051,0.796,0.796,,BGD,0.302,0.302,0.490,0.490,,,,BDI,0.062,0.062,0.796,0.796,,BDI,0.552,0.552,0.289,0.289,,,,BGD,0.811,0.305,0.611,0.444,,BGD,0.302,0.302,0.397,0.397,,,,BDI,0.848,0.733,0.543,0.543,,BDI,0.552,0.552,0.082,0.082
BEN,0.041,0.041,0.506,0.492,,BDI,0.248,0.153,0.920,0.920,,,,AUS,1.000,1.000,1.000,1.000,,AZE,1.000,0.906,1.000,0.946,,,,BEN,0.053,0.053,0.436,0.436,,BDI,0.913,0.605,0.886,0.886,,,,BDI,0.557,0.557,0.194,0.194,,AUT,0.526,0.526,0.690,0.690,,,,BEN,0.053,0.053,0.525,0.525,,BGR,0.754,0.535,0.849,0.849,,,,BEN,0.065,0.065,0.525,0.525,,BEN,0.561,0.561,0.372,0.372,,,,BGR,0.425,0.425,0.193,0.111,,BGR,0.524,0.504,0.719,0.719,,,,BEN,0.668,0.627,0.258,0.258,,BEN,0.561,0.561,0.278,0.278
BFA,0.042,0.042,0.250,0.243,,BEN,0.256,0.222,0.947,0.947,,,,AUT,0.529,0.529,0.734,0.734,,BDI,0.653,0.597,0.920,0.920,,,,BFA,0.053,0.053,0.198,0.198,,BEN,0.933,0.472,0.831,0.831,,,,BEN,0.567,0.567,0.436,0.436,,AZE,0.865,0.865,0.909,0.851,,,,BFA,0.053,0.053,0.501,0.501,,BLZ,0.362,0.255,0.845,0.845,,,,BFA,0.065,0.065,0.501,0.501,,BGD,0.597,0.597,0.479,0.479,,,,BLZ,0.204,0.204,0.235,0.235,,BLZ,0.252,0.215,0.495,0.495,,,,BGD,0.909,0.712,0.611,0.417,,BGD,0.597,0.597,0.397,0.397
BGD,0.050,0.050,0.515,0.503,,BFA,0.054,0.054,0.652,0.652,,,,BDI,0.546,0.546,0.221,0.221,,BEN,0.665,0.639,0.947,0.947,,,,BGD,0.063,0.063,0.493,0.493,,BFA,0.048,0.048,0.566,0.566,,,,BFA,0.566,0.566,0.198,0.198,,BDI,0.966,0.776,0.886,0.886,,,,BGD,0.064,0.064,0.657,0.657,,BOL,0.201,0.201,0.653,0.653,,,,BGD,0.077,0.077,0.657,0.657,,BGR,0.703,0.703,0.845,0.838,,,,BOL,0.201,0.201,0.128,0.128,,BOL,0.201,0.201,0.276,0.276,,,,BGR,0.836,0.718,0.193,0.094,,BGR,0.703,0.703,0.719,0.719
BGR,0.095,0.086,0.903,0.887,,BGD,0.306,0.156,0.908,0.908,,,,BEN,0.555,0.555,0.395,0.395,,BFA,0.556,0.556,0.652,0.652,,,,BGR,0.951,0.187,0.964,0.871,,BGD,0.687,0.327,0.920,0.790,,,,BGD,0.602,0.602,0.493,0.493,,BEN,0.964,0.696,0.831,0.831,,,,BGR,0.086,0.086,0.979,0.979,,BRA,0.205,0.205,0.602,0.602,,,,BGR,0.108,0.108,0.979,0.979,,BLZ,0.529,0.529,0.825,0.825,,,,BRA,0.549,0.288,0.483,0.483,,BRA,0.205,0.205,0.408,0.408,,,,BLZ,0.629,0.584,0.235,0.235,,BLZ,0.529,0.529,0.495,0.495
BLR,1.000,0.605,1.000,0.987,,BGR,0.737,0.424,0.965,0.962,,,,BFA,0.555,0.555,0.195,0.195,,BGD,0.708,0.632,0.908,0.908,,,,BLR,0.617,0.507,0.970,0.970,,BGR,0.417,0.115,0.884,0.777,,,,BGR,0.709,0.709,0.902,0.870,,BFA,0.554,0.554,0.566,0.566,,,,BLR,0.159,0.140,0.999,0.999,,BRB,0.200,0.200,0.732,0.732,,,,BLR,0.169,0.150,0.999,0.999,,BOL,0.521,0.521,0.637,0.637,,,,BRB,0.200,0.200,0.066,0.066,,BRB,0.200,0.200,0.304,0.304,,,,BOL,0.620,0.547,0.128,0.128,,BOL,0.521,0.521,0.276,0.276
BLZ,0.045,0.035,0.720,0.713,,BLR,0.244,0.174,0.930,0.930,,,,BGD,0.592,0.592,0.402,0.402,,BGR,0.845,0.823,0.964,0.963,,,,BLZ,0.042,0.042,0.670,0.670,,BLR,0.240,0.074,0.690,0.690,,,,BLR,0.887,0.743,0.970,0.970,,BGD,0.877,0.613,0.920,0.780,,,,BOL,0.041,0.041,0.992,0.992,,BWA,0.152,0.129,0.767,0.767,,,,BOL,0.051,0.051,0.992,0.992,,BRA,0.543,0.543,0.587,0.587,,,,BWA,0.123,0.123,0.069,0.069,,BWA,0.152,0.125,0.439,0.439,,,,BRA,0.829,0.691,0.483,0.483,,BRA,0.543,0.543,0.408,0.408
BOL,0.044,0.037,0.778,0.770,,BLZ,0.203,0.201,0.960,0.960,,,,BGR,0.696,0.696,0.744,0.740,,BLR,0.702,0.653,0.930,0.930,,,,BOL,0.041,0.041,0.749,0.749,,BLZ,0.446,0.233,0.768,0.768,,,,BLZ,0.536,0.536,0.670,0.670,,BGR,0.695,0.695,0.920,0.771,,,,BRA,0.041,0.041,0.984,0.984,,CAF,0.265,0.265,0.308,0.308,,,,BRA,0.052,0.052,0.984,0.984,,BRB,0.539,0.539,0.714,0.714,,,,CAF,0.265,0.265,0.548,0.380,,CAF,0.265,0.265,0.153,0.153,,,,BRB,0.642,0.547,0.066,0.066,,BRB,0.539,0.539,0.304,0.304
BRA,0.045,0.042,0.911,0.901,,BOL,0.200,0.093,0.903,0.903,,,,BLR,0.827,0.631,0.795,0.795,,BLZ,0.625,0.615,0.960,0.960,,,,BRA,0.042,0.042,0.804,0.804,,BOL,0.199,0.062,0.690,0.690,,,,BOL,0.528,0.528,0.749,0.749,,BLR,0.584,0.584,0.836,0.704,,,,CAF,0.056,0.056,0.364,0.364,,CHL,0.399,0.353,0.784,0.784,,,,CAF,0.068,0.068,0.364,0.364,,BWA,0.423,0.423,0.749,0.749,,,,CHL,0.324,0.324,0.217,0.156,,CHL,0.399,0.363,0.611,0.611,,,,BWA,0.504,0.430,0.069,0.069,,BWA,0.423,0.423,0.439,0.439
BRB,0.044,0.043,0.966,0.955,,BRA,0.201,0.157,0.937,0.937,,,,BLZ,0.521,0.521,0.577,0.577,,BOL,0.616,0.544,0.903,0.903,,,,BRB,0.496,0.186,0.896,0.896,,BRA,0.716,0.363,0.831,0.831,,,,BRA,0.551,0.551,0.804,0.804,,BLZ,0.772,0.555,0.768,0.768,,,,CHL,0.064,0.064,0.992,0.991,,CHN,0.396,0.396,0.637,0.637,,,,CHL,0.082,0.082,0.992,0.991,,CAF,0.567,0.567,0.301,0.301,,,,CHN,0.396,0.396,0.597,0.325,,CHN,0.396,0.396,0.359,0.359,,,,CAF,0.675,0.670,0.378,0.378,,CAF,0.567,0.567,0.153,0.153
